sample_id,window_id,user_id,ht_mean,ht_std,dd_mean,dd_std,ud_mean,ud_std,typing_speed,backspace_count,backspace_ratio,total_duration,key_count,label
1,0,1,115.94749999791384,33.05225398859321,157.2282051275938,149.63738725750713,42.58461538644937,141.91757546491374,6.350516773314446,0,0.0,6.298699999988079,40,1
1,1,1,120.43499999791383,26.404256758100463,191.29230769169635,188.97955442163754,69.88461538614371,182.30503535578953,5.303000172364268,1,0.025,7.542899999976158,40,1
1,2,1,117.75249999910594,32.071427992640395,142.77179487087787,75.93134195880052,24.23076923076923,87.18939053843401,7.073261304000452,1,0.025,5.6550999999642375,40,1
1,3,1,128.35999999940395,29.30179858429531,148.5820512817456,110.45165754112055,20.40000000061133,110.46805781147422,6.745362563237775,0,0.0,5.93,40,1
1,4,1,142.5074999988079,41.27864694941044,208.05641025610458,206.41017763464822,63.96666666788933,202.23083957819549,4.881025015253203,0,0.0,8.195,40,1
1,5,1,123.4,31.927300223188936,197.1461538473765,180.15250639306296,73.6358974362031,189.1962574545079,5.123082046151148,1,0.025,7.8078000000119205,40,1
1,6,1,137.77000000476838,45.663728503045206,209.00769230799798,185.93482092508427,71.6435897396161,194.454088962539,4.816433671667058,1,0.025,8.304900000035763,40,1
1,7,1,140.15750000178815,80.89006085148178,194.67948717948718,116.7487114799547,52.86666666544401,88.91373905488612,5.216416061328833,0,0.0,7.668100000023842,40,1
2,0,jure,114.52749999314547,36.51121736876715,225.18974359066058,205.91245313589454,111.67179487913083,208.35855307956786,4.476125465790836,2,0.05,8.93630000001192,40,1
2,1,jure,118.0875,25.79068812376673,176.2487179484123,143.56233145212815,58.40000000061133,156.9276397059003,5.713387896168285,3,0.075,7.0011000000238415,40,1
2,2,jure,149.67750000059604,44.18733691321918,173.6153846153846,127.6860764623644,26.102564101035778,127.84213118458995,5.710125480036575,0,0.0,7.005099999964237,40,1
2,3,jure,134.7074999973178,30.617694129677147,153.7948717948718,79.49841459066376,18.04358974634073,77.66592757218334,6.565988181221274,0,0.0,6.092,40,1
2,4,jure,138.97250000536442,38.53111071701767,173.30000000122266,116.71004834480065,33.571794867515564,119.88636060677541,5.8239422264526794,3,0.075,6.8682000000476835,40,1
2,5,jure,148.9700000062585,48.86227174898085,290.68717948595685,344.9217326167524,141.28461537758508,336.1152782626021,3.4876928040250728,3,0.075,11.468899999976157,40,1
2,6,jure,136.4875,39.280358883027255,138.5,76.45850558726698,1.8076923076923077,76.11231708843246,7.2332730560578655,2,0.05,5.53,40,1
2,7,jure,111.39749999642372,30.797430795385512,143.1128205122092,88.61494687655379,31.717948721005367,84.35568733639025,7.026295912481778,1,0.025,5.6928999999761585,40,1
2,8,jure,138.84500000178815,35.18395906047577,302.1974358971302,627.8322225984045,163.2871794853455,631.5806334098158,3.3551417547391376,2,0.05,11.922,40,1
3,0,jure,114.52749999314547,36.51121736876715,225.18974359066058,205.91245313589454,111.67179487913083,208.35855307956786,4.476125465790836,2,0.05,8.93630000001192,40,1
3,1,jure,118.0875,25.79068812376673,176.2487179484123,143.56233145212815,58.40000000061133,156.9276397059003,5.713387896168285,3,0.075,7.0011000000238415,40,1
3,2,jure,149.67750000059604,44.18733691321918,173.6153846153846,127.6860764623644,26.102564101035778,127.84213118458995,5.710125480036575,0,0.0,7.005099999964237,40,1
3,3,jure,134.7074999973178,30.617694129677147,153.7948717948718,79.49841459066376,18.04358974634073,77.66592757218334,6.565988181221274,0,0.0,6.092,40,1
3,4,jure,138.97250000536442,38.53111071701767,173.30000000122266,116.71004834480065,33.571794867515564,119.88636060677541,5.8239422264526794,3,0.075,6.8682000000476835,40,1
3,5,jure,148.9700000062585,48.86227174898085,290.68717948595685,344.9217326167524,141.28461537758508,336.1152782626021,3.4876928040250728,3,0.075,11.468899999976157,40,1
3,6,jure,136.4875,39.280358883027255,138.5,76.45850558726698,1.8076923076923077,76.11231708843246,7.2332730560578655,2,0.05,5.53,40,1
3,7,jure,111.39749999642372,30.797430795385512,143.1128205122092,88.61494687655379,31.717948721005367,84.35568733639025,7.026295912481778,1,0.025,5.6928999999761585,40,1
3,8,jure,138.84500000178815,35.18395906047577,302.1974358971302,627.8322225984045,163.2871794853455,631.5806334098158,3.3551417547391376,2,0.05,11.922,40,1
4,0,jure,122.31499999761581,44.99351925733559,194.65128205067072,181.1989172866984,73.55384615598581,187.5530883420741,5.153842189360078,0,0.0,7.761199999988079,40,1
4,1,jure,137.07249999791384,49.44803326626609,250.70256410195276,353.7262359379521,113.60256410409242,342.47388332710665,4.034942602951177,1,0.025,9.913399999976159,40,1
4,2,jure,131.65499999672176,43.7009722366725,170.55641025610458,98.1965553548561,40.01794872222803,107.89451132579677,5.859174735207849,2,0.05,6.826900000035763,40,1
4,3,jure,127.92749999463558,30.27676491494378,129.2128205131262,56.42590412542525,0.4179487243676797,63.64237369626884,7.792106595963949,0,0.0,5.1334000000357625,40,1
4,4,jure,123.91249999850989,31.365818881426954,153.60769230738666,158.81466279864765,29.26666666758366,166.03644074859213,6.559635284303842,1,0.025,6.097899999976158,40,1
4,5,jure,141.84499999731779,38.12223071356059,178.11794871856006,124.72440567755986,36.25128205464436,125.75990122022252,5.643659348702727,1,0.025,7.0876000000238415,40,1
4,6,jure,124.72999999672174,31.79156492091631,199.26666666605533,169.47983214367943,74.20256410500942,185.1766966165213,5.074145957831496,3,0.075,7.883099999964237,40,1
4,7,jure,130.97249999642372,46.83252068536451,261.0769230769231,295.15187698850656,130.0358974398711,294.5174675739963,3.879615530096481,3,0.075,10.310300000011921,40,1
4,8,jure,137.29500000178814,52.02832857916228,157.37179487179486,89.54295903074973,19.797435894990578,83.93235519766144,6.385797985305041,0,0.0,6.263899999976158,40,1
4,9,jure,124.20000000149011,36.27821660154783,160.34358974297842,96.04280241274753,36.05128204975373,95.38293636665162,6.2754941951678695,0,0.0,6.374,40,1
4,10,jure,118.78499999642372,32.06701225755333,223.0,242.89745012779593,105.03846154151819,251.405585701064,4.520846754609318,2,0.05,8.847899999976159,40,1
4,11,jure,115.83750000298024,30.677203969238686,158.76410256440823,85.04812057934762,42.99487179212081,92.67925098616594,6.338842844226809,1,0.025,6.310300000011921,40,1
5,0,jure,114.52749999314547,36.51121736876715,225.18974359066058,205.91245313589454,111.67179487913083,208.35855307956786,4.476125465790836,2,0.05,8.93630000001192,40,1
5,1,jure,118.0875,25.79068812376673,176.2487179484123,143.56233145212815,58.40000000061133,156.9276397059003,5.713387896168285,3,0.075,7.0011000000238415,40,1
5,2,jure,149.67750000059604,44.18733691321918,173.6153846153846,127.6860764623644,26.102564101035778,127.84213118458995,5.710125480036575,0,0.0,7.005099999964237,40,1
5,3,jure,134.7074999973178,30.617694129677147,153.7948717948718,79.49841459066376,18.04358974634073,77.66592757218334,6.565988181221274,0,0.0,6.092,40,1
5,4,jure,138.97250000536442,38.53111071701767,173.30000000122266,116.71004834480065,33.571794867515564,119.88636060677541,5.8239422264526794,3,0.075,6.8682000000476835,40,1
5,5,jure,148.9700000062585,48.86227174898085,290.68717948595685,344.9217326167524,141.28461537758508,336.1152782626021,3.4876928040250728,3,0.075,11.468899999976157,40,1
5,6,jure,136.4875,39.280358883027255,138.5,76.45850558726698,1.8076923076923077,76.11231708843246,7.2332730560578655,2,0.05,5.53,40,1
5,7,jure,111.39749999642372,30.797430795385512,143.1128205122092,88.61494687655379,31.717948721005367,84.35568733639025,7.026295912481778,1,0.025,5.6928999999761585,40,1
5,8,jure,138.84500000178815,35.18395906047577,302.1974358971302,627.8322225984045,163.2871794853455,631.5806334098158,3.3551417547391376,2,0.05,11.922,40,1
6,0,jure,122.31499999761581,44.99351925733559,194.65128205067072,181.1989172866984,73.55384615598581,187.5530883420741,5.153842189360078,0,0.0,7.761199999988079,40,1
6,1,jure,137.07249999791384,49.44803326626609,250.70256410195276,353.7262359379521,113.60256410409242,342.47388332710665,4.034942602951177,1,0.025,9.913399999976159,40,1
6,2,jure,131.65499999672176,43.7009722366725,170.55641025610458,98.1965553548561,40.01794872222803,107.89451132579677,5.859174735207849,2,0.05,6.826900000035763,40,1
6,3,jure,127.92749999463558,30.27676491494378,129.2128205131262,56.42590412542525,0.4179487243676797,63.64237369626884,7.792106595963949,0,0.0,5.1334000000357625,40,1
6,4,jure,123.91249999850989,31.365818881426954,153.60769230738666,158.81466279864765,29.26666666758366,166.03644074859213,6.559635284303842,1,0.025,6.097899999976158,40,1
6,5,jure,141.84499999731779,38.12223071356059,178.11794871856006,124.72440567755986,36.25128205464436,125.75990122022252,5.643659348702727,1,0.025,7.0876000000238415,40,1
6,6,jure,124.72999999672174,31.79156492091631,199.26666666605533,169.47983214367943,74.20256410500942,185.1766966165213,5.074145957831496,3,0.075,7.883099999964237,40,1
6,7,jure,130.97249999642372,46.83252068536451,261.0769230769231,295.15187698850656,130.0358974398711,294.5174675739963,3.879615530096481,3,0.075,10.310300000011921,40,1
6,8,jure,137.29500000178814,52.02832857916228,157.37179487179486,89.54295903074973,19.797435894990578,83.93235519766144,6.385797985305041,0,0.0,6.263899999976158,40,1
6,9,jure,124.20000000149011,36.27821660154783,160.34358974297842,96.04280241274753,36.05128204975373,95.38293636665162,6.2754941951678695,0,0.0,6.374,40,1
6,10,jure,118.78499999642372,32.06701225755333,223.0,242.89745012779593,105.03846154151819,251.405585701064,4.520846754609318,2,0.05,8.847899999976159,40,1
6,11,jure,115.83750000298024,30.677203969238686,158.76410256440823,85.04812057934762,42.99487179212081,92.67925098616594,6.338842844226809,1,0.025,6.310300000011921,40,1
7,0,jure,124.33499999791384,34.8952686643437,255.36666666697232,285.38474465146203,131.50256410470377,290.8622173539557,3.959611958028113,3,0.075,10.102,40,1
7,1,jure,125.7,33.588911862152464,165.7410256404143,111.56722411274447,39.04615384645951,120.14654693527726,6.106124442805033,2,0.05,6.550800000011921,40,1
7,2,jure,127.6499999910593,33.836622170579126,217.2076923067753,197.8548449862675,88.46923077717805,207.2778763595477,4.674917896780491,1,0.025,8.556299999952316,40,1
7,3,jure,142.77249999791383,49.902244377223305,287.23589743559177,310.96017840687716,143.68974359066058,312.76595230262984,3.535192844784581,3,0.075,11.314799999952315,40,1
7,4,jure,131.8574999988079,41.059937213487814,196.21538461477328,152.74987521577697,62.264102565936554,158.5171534610134,5.193051696813568,1,0.025,7.702600000023842,40,1
7,5,jure,129.93499999940394,44.28944879790626,220.10256410256412,231.2070306461737,88.13846153937854,243.32101157734476,4.63241765876972,2,0.05,8.634800000011921,40,1
7,6,jure,118.0424999922514,29.9670309475685,211.67435897466464,221.66304957277032,93.74871795605391,218.79177065957225,4.774466155016631,2,0.05,8.377899999976158,40,1
7,7,jure,131.0449999988079,27.21306625769652,189.2871794868738,177.43369318274776,57.20512820665653,177.17241631250658,5.352745958668263,0,0.0,7.472800000011921,40,1
7,8,jure,148.39999999552964,38.88518355428026,265.7717948724062,399.1416257524634,118.64615385043315,390.9169331740598,3.7867312935516835,0,0.0,10.563199999988079,40,1
7,9,jure,127.11000000089408,30.223275799609954,237.21025640995074,370.9238852005605,109.71025640995074,368.0029562263561,4.272089372098787,0,0.0,9.363100000023842,40,1
7,10,jure,131.04500000327826,46.39347448534654,222.23589743559177,145.0195998842428,90.96153845695349,143.99642732896507,4.550988133323132,1,0.025,8.789299999952316,40,1
7,11,jure,113.48749999254942,38.131438396808534,264.70769230830365,329.9992512704872,151.92051282907144,344.58535482911066,3.82248384999267,5,0.125,10.464400000035763,40,1
8,0,jure,114.52749999314547,36.51121736876715,225.18974359066058,205.91245313589454,111.67179487913083,208.35855307956786,4.476125465790836,2,0.05,8.93630000001192,40,1
8,1,jure,118.0875,25.79068812376673,176.2487179484123,143.56233145212815,58.40000000061133,156.9276397059003,5.713387896168285,3,0.075,7.0011000000238415,40,1
8,2,jure,149.67750000059604,44.18733691321918,173.6153846153846,127.6860764623644,26.102564101035778,127.84213118458995,5.710125480036575,0,0.0,7.005099999964237,40,1
8,3,jure,134.7074999973178,30.617694129677147,153.7948717948718,79.49841459066376,18.04358974634073,77.66592757218334,6.565988181221274,0,0.0,6.092,40,1
8,4,jure,138.97250000536442,38.53111071701767,173.30000000122266,116.71004834480065,33.571794867515564,119.88636060677541,5.8239422264526794,3,0.075,6.8682000000476835,40,1
8,5,jure,148.9700000062585,48.86227174898085,290.68717948595685,344.9217326167524,141.28461537758508,336.1152782626021,3.4876928040250728,3,0.075,11.468899999976157,40,1
8,6,jure,136.4875,39.280358883027255,138.5,76.45850558726698,1.8076923076923077,76.11231708843246,7.2332730560578655,2,0.05,5.53,40,1
8,7,jure,111.39749999642372,30.797430795385512,143.1128205122092,88.61494687655379,31.717948721005367,84.35568733639025,7.026295912481778,1,0.025,5.6928999999761585,40,1
8,8,jure,138.84500000178815,35.18395906047577,302.1974358971302,627.8322225984045,163.2871794853455,631.5806334098158,3.3551417547391376,2,0.05,11.922,40,1
9,0,jure,122.31499999761581,44.99351925733559,194.65128205067072,181.1989172866984,73.55384615598581,187.5530883420741,5.153842189360078,0,0.0,7.761199999988079,40,1
9,1,jure,137.07249999791384,49.44803326626609,250.70256410195276,353.7262359379521,113.60256410409242,342.47388332710665,4.034942602951177,1,0.025,9.913399999976159,40,1
9,2,jure,131.65499999672176,43.7009722366725,170.55641025610458,98.1965553548561,40.01794872222803,107.89451132579677,5.859174735207849,2,0.05,6.826900000035763,40,1
9,3,jure,127.92749999463558,30.27676491494378,129.2128205131262,56.42590412542525,0.4179487243676797,63.64237369626884,7.792106595963949,0,0.0,5.1334000000357625,40,1
9,4,jure,123.91249999850989,31.365818881426954,153.60769230738666,158.81466279864765,29.26666666758366,166.03644074859213,6.559635284303842,1,0.025,6.097899999976158,40,1
9,5,jure,141.84499999731779,38.12223071356059,178.11794871856006,124.72440567755986,36.25128205464436,125.75990122022252,5.643659348702727,1,0.025,7.0876000000238415,40,1
9,6,jure,124.72999999672174,31.79156492091631,199.26666666605533,169.47983214367943,74.20256410500942,185.1766966165213,5.074145957831496,3,0.075,7.883099999964237,40,1
9,7,jure,130.97249999642372,46.83252068536451,261.0769230769231,295.15187698850656,130.0358974398711,294.5174675739963,3.879615530096481,3,0.075,10.310300000011921,40,1
9,8,jure,137.29500000178814,52.02832857916228,157.37179487179486,89.54295903074973,19.797435894990578,83.93235519766144,6.385797985305041,0,0.0,6.263899999976158,40,1
9,9,jure,124.20000000149011,36.27821660154783,160.34358974297842,96.04280241274753,36.05128204975373,95.38293636665162,6.2754941951678695,0,0.0,6.374,40,1
9,10,jure,118.78499999642372,32.06701225755333,223.0,242.89745012779593,105.03846154151819,251.405585701064,4.520846754609318,2,0.05,8.847899999976159,40,1
9,11,jure,115.83750000298024,30.677203969238686,158.76410256440823,85.04812057934762,42.99487179212081,92.67925098616594,6.338842844226809,1,0.025,6.310300000011921,40,1
10,0,jure,124.33499999791384,34.8952686643437,255.36666666697232,285.38474465146203,131.50256410470377,290.8622173539557,3.959611958028113,3,0.075,10.102,40,1
10,1,jure,125.7,33.588911862152464,165.7410256404143,111.56722411274447,39.04615384645951,120.14654693527726,6.106124442805033,2,0.05,6.550800000011921,40,1
10,2,jure,127.6499999910593,33.836622170579126,217.2076923067753,197.8548449862675,88.46923077717805,207.2778763595477,4.674917896780491,1,0.025,8.556299999952316,40,1
10,3,jure,142.77249999791383,49.902244377223305,287.23589743559177,310.96017840687716,143.68974359066058,312.76595230262984,3.535192844784581,3,0.075,11.314799999952315,40,1
10,4,jure,131.8574999988079,41.059937213487814,196.21538461477328,152.74987521577697,62.264102565936554,158.5171534610134,5.193051696813568,1,0.025,7.702600000023842,40,1
10,5,jure,129.93499999940394,44.28944879790626,220.10256410256412,231.2070306461737,88.13846153937854,243.32101157734476,4.63241765876972,2,0.05,8.634800000011921,40,1
10,6,jure,118.0424999922514,29.9670309475685,211.67435897466464,221.66304957277032,93.74871795605391,218.79177065957225,4.774466155016631,2,0.05,8.377899999976158,40,1
10,7,jure,131.0449999988079,27.21306625769652,189.2871794868738,177.43369318274776,57.20512820665653,177.17241631250658,5.352745958668263,0,0.0,7.472800000011921,40,1
10,8,jure,148.39999999552964,38.88518355428026,265.7717948724062,399.1416257524634,118.64615385043315,390.9169331740598,3.7867312935516835,0,0.0,10.563199999988079,40,1
10,9,jure,127.11000000089408,30.223275799609954,237.21025640995074,370.9238852005605,109.71025640995074,368.0029562263561,4.272089372098787,0,0.0,9.363100000023842,40,1
10,10,jure,131.04500000327826,46.39347448534654,222.23589743559177,145.0195998842428,90.96153845695349,143.99642732896507,4.550988133323132,1,0.025,8.789299999952316,40,1
10,11,jure,113.48749999254942,38.131438396808534,264.70769230830365,329.9992512704872,151.92051282907144,344.58535482911066,3.82248384999267,5,0.125,10.464400000035763,40,1
